"node","category","M","N","kingdom","phylum","class","order","family","genus","species","resolved.to"
"Dinobryon sociale","producer",6.41e-13,2.8e+07,"Chromista","Ochrophyta","Chrysophyceae","Chromulinales","Dinobryaceae","Dinobryon","sociale","Species"
"Glenodinium quadridens","producer",7.54e-12,6.7e+07,"Protozoa","Myzozoa","Dinophyceae","Peridiniales","Peridiniaceae","Glenodinium","quadridens","Species"
"Microcystis aeruginosa","producer",1.62e-11,1.3e+07,"Bacteria","Cyanobacteria","Cyanophyceae","Chroococcales","Microcystaceae","Microcystis","aeruginosa","Species"
"Mallomonas sp. 1","producer",1.03e-12,1.9e+07,"Chromista","Ochrophyta","Synurophyceae","Synurales","Mallomonadaceae","Mallomonas","","Species"
"Mallomonas sp. 2","producer",1.41e-12,22700000,"Chromista","Ochrophyta","Synurophyceae","Synurales","Mallomonadaceae","Mallomonas","","Species"
"Unclassified flagellates","producer",3.46e-13,1.88e+09,"","","","","","","",""
"Peridinium limbatum","producer",6.46e-11,1.7e+07,"Protozoa","Myzozoa","Dinophyceae","Peridiniales","Peridiniaceae","Peridinium","limbatum","Species"
"Peridinium cinctum","producer",4.06e-11,8e+06,"Protozoa","Myzozoa","Dinophyceae","Peridiniales","Peridiniaceae","Peridinium","cinctum","Species"
"Peridinium pulsillum","producer",1.58e-12,1.23e+08,"Protozoa","Myzozoa","Dinophyceae","Peridiniales","Peridiniaceae","Peridinium","pulsillum","Species"
"Peridinium wisconsinense","producer",3.56e-11,1.4e+07,"Protozoa","Myzozoa","Dinophyceae","Peridiniales","Peridiniaceae","Peridinium","wisconsinense","Species"
"Chromulina sp.","producer",3.03e-14,1.49e+08,"Chromista","Ochrophyta","Chrysophyceae","Chromulinales","Chromulinaceae","Chromulina","","Species"
"Rhizosolenia sp.","producer",6.86e-13,5.6e+07,"Chromista","Ochrophyta","Bacillariophyceae","Rhizosoleniales","Rhizosoleniaceae","Rhizosolenia","","Species"
"Selenastrum minutum","producer",2.72e-13,2e+08,"Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Selenastraceae","Selenastrum","minutum","Species"
"Spinocosmarium sp.","producer",3.71e-12,2e+06,"Plantae","Charophyta","Zygnematophyceae","Desmidiales","Desmidiaceae","Spinocosmarium","","Species"
"Staurastrum sp.","producer",4.3e-12,9e+06,"Plantae","Charophyta","Zygnematophyceae","Desmidiales","Desmidiaceae","Staurastrum","","Species"
"Synedra sp.","producer",9.19e-11,1e+06,"Chromista","Ochrophyta","Bacillariophyceae","Fragilariales","Fragilariaceae","Synedra","","Species"
"Trachelomonas sp.","producer",1.75e-13,2.22e+08,"Protozoa","Euglenozoa","Euglenophyceae","Euglenales","Euglenaceae","Trachelomonas","","Species"
"Ascomorpha eucadis","invertebrate",1.4e-10,13800,"Animalia","Rotifera","Monogonata","Ploima","Gastropodidae","Ascomorpha","eucadis","Species"
"Synchaeta sp.","invertebrate",9.5e-10,30000,"Animalia","Rotifera","Monogonata","Ploima","Synchaetidae","Synchaeta","","Species"
"Bosmina longirostris","invertebrate",1.55e-09,155000,"Animalia","Arthropoda","Branchiopoda","Diplostraca","Bosminidae","Bosmina","longirostris","Species"
"Conochilus (solitary)","invertebrate",3.5e-11,36000,"Animalia","Rotifera","Monogonata","Flosculariaceae","Conochilidae","Conochilus","","Genus"
"Cyclops varians rubellus","invertebrate",2.04e-08,7800,"Animalia","Arthropoda","Maxillopoda","Cyclopoida","Cyclopidae","Cyclops","varians","Species"
"Diaphanosoma leuchtenbergianum","invertebrate",2.24e-09,14400,"Animalia","Arthropoda","Branchiopoda","Diplostraca","Sididae","Diaphanosoma","leuchtenbergianum","Species"
"Daphnia pulex","invertebrate",5.8e-08,1800,"Animalia","Arthropoda","Branchiopoda","Diplostraca","Daphniidae","Daphnia","pulex","Species"
"Filinia longispina","invertebrate",1.8e-10,2400,"Animalia","Rotifera","Monogonata","Flosculariaceae","Filiniidae","Filinia","longispina","Species"
"Conochiloides dossuarius","invertebrate",1.6e-10,235000,"Animalia","Rotifera","Monogonata","Flosculariaceae","Conochilidae","Conochiloides","dossuarius","Species"
"Gastropus stylifer","invertebrate",1.35e-10,35400,"Animalia","Rotifera","Monogonata","Ploima","Gastropodidae","Gastropus","stylifer","Species"
"Holopedium gibberum","invertebrate",8.75e-08,600,"Animalia","Arthropoda","Branchiopoda","Diplostraca","Holopediidae","Holopedium","gibberum","Species"
"Kellicottia sp.","invertebrate",2e-11,256000,"Animalia","Rotifera","Monogonata","Ploima","Brachionidae","Kellicottia","","Species"
"Keratella cochlearis","invertebrate",1e-11,427000,"Animalia","Rotifera","Monogonata","Ploima","Brachionidae","Keratella","cochlearis","Species"
"Keratella testudo","invertebrate",1e-11,6000,"Animalia","Rotifera","Monogonata","Ploima","Brachionidae","Keratella","testudo","Species"
"Leptodiaptomus siciloides","invertebrate",8.8e-09,2400,"Animalia","Arthropoda","Maxillopoda","Calanoida","Diaptomidae","Leptodiaptomus","siciloides","Species"
"Orthocyclops modestus","invertebrate",2.29e-08,22800,"Animalia","Arthropoda","Maxillopoda","Cyclopoida","Cyclopidae","Orthocyclops","modestus","Species"
"Ploesoma sp.","invertebrate",1.05e-10,55800,"Animalia","Rotifera","Monogonata","Ploima","Synchaetidae","Ploesoma","","Species"
"Polyarthra vulgaris","invertebrate",4.65e-10,376000,"Animalia","Rotifera","Monogonata","Ploima","Synchaetidae","Polyarthra","vulgaris","Species"
"Trichocerca multicrinis","invertebrate",2.5e-10,46800,"Animalia","Rotifera","Monogonata","Ploima","Trichocercidae","Trichocerca","multicrinis","Species"
"Trichocerca cylindrica","invertebrate",3.8e-10,81600,"Animalia","Rotifera","Monogonata","Ploima","Trichocercidae","Trichocerca","cylindrica","Species"
"Tropocyclops prasinus","invertebrate",6.85e-09,49200,"Animalia","Arthropoda","Maxillopoda","Cyclopoida","Cyclopidae","Tropocyclops","prasinus","Species"
"Chaoborus punctipennis","invertebrate",3e-07,12000,"Animalia","Arthropoda","Insecta","Diptera","Chaoboridae","Chaoborus","punctipennis","Species"
"Phoxinus eos","vert.ecto",0.00101,1.97,"Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","Phoxinus","eos","Species"
"Phoxinus neogaeus","vert.ecto",0.00117,0.133,"Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","Phoxinus","neogaeus","Species"
"Umbra limi","vert.ecto",0.00129,0.132,"Animalia","Chordata","Actinopterygii","Esociformes","Umbridae","Umbra","limi","Species"
